O*NET-SOC Code,Title,Artistic,Conventional,Enterprising,First Interest High-Point,Investigative,Realistic,Second Interest High-Point,Social,Third Interest High-Point,Occupation,Job Family
11-1011.00,Chief Executives,2.08,5.0,6.88,5.0,3.24,1.3,6.0,3.52,0.0,Chief Executives,Management
11-1011.03,Chief Sustainability Officers,2.48,4.49,6.68,5.0,4.78,2.04,2.0,3.55,6.0,Chief Sustainability Officers,Management
11-1021.00,General and Operations Managers,1.31,5.32,6.96,5.0,2.39,2.22,6.0,3.37,0.0,General and Operations Managers,Management
11-1031.00,Legislators,2.7,3.62,5.52,5.0,3.35,1.54,4.0,3.69,6.0,Legislators,Management
11-2011.00,Advertising and Promotions Managers,3.85,4.3,7.0,5.0,1.71,1.07,6.0,3.14,3.0,Advertising and Promotions Managers,Management
11-2021.00,Marketing Managers,2.45,4.7,7.0,5.0,2.9,1.0,6.0,2.82,0.0,Marketing Managers,Management
11-2022.00,Sales Managers,1.31,5.58,7.0,5.0,1.66,1.49,6.0,3.29,0.0,Sales Managers,Management
11-2032.00,Public Relations Managers,3.68,4.39,7.0,5.0,2.35,1.0,6.0,4.14,4.0,Public Relations Managers,Management
11-2033.00,Fundraising Managers,2.67,4.72,7.0,5.0,2.41,1.0,6.0,3.75,4.0,Fundraising Managers,Management
11-3012.00,Administrative Services Managers,1.01,6.43,6.51,5.0,2.03,1.59,6.0,3.71,4.0,Administrative Services Managers,Management
11-3013.00,Facilities Managers,1.64,5.41,5.54,5.0,2.52,3.93,6.0,3.59,1.0,Facilities Managers,Management
11-3013.01,Security Managers,1.29,5.39,5.6,5.0,3.71,3.4,6.0,2.75,0.0,Security Managers,Management
11-3021.00,Computer and Information Systems Managers,1.5,5.72,5.09,6.0,4.42,2.56,5.0,2.41,2.0,Computer and Information Systems Managers,Management
11-3031.00,Financial Managers,1.54,5.7,7.0,5.0,2.45,1.22,6.0,2.93,0.0,Financial Managers,Management
11-3031.01,Treasurers and Controllers,1.28,6.15,6.22,5.0,2.4,1.0,6.0,2.7,0.0,Treasurers and Controllers,Management
11-3031.03,Investment Fund Managers,1.47,5.25,6.77,5.0,3.71,1.66,6.0,2.56,2.0,Investment Fund Managers,Management
11-3051.00,Industrial Production Managers,1.33,5.29,5.92,5.0,2.94,4.23,6.0,1.83,1.0,Industrial Production Managers,Management
11-3051.01,Quality Control Systems Managers,1.17,5.7,5.05,6.0,4.02,3.6,5.0,2.07,2.0,Quality Control Systems Managers,Management
11-3051.02,Geothermal Production Managers,1.0,4.82,4.58,1.0,3.35,5.35,6.0,2.07,5.0,Geothermal Production Managers,Management
11-3051.03,Biofuels Production Managers,1.0,5.06,5.41,5.0,3.74,4.59,6.0,1.83,1.0,Biofuels Production Managers,Management
11-3051.04,Biomass Power Plant Managers,1.0,5.34,4.86,6.0,3.19,5.12,1.0,1.72,5.0,Biomass Power Plant Managers,Management
11-3051.06,Hydroelectric Production Managers,1.0,5.02,4.57,1.0,3.64,5.37,6.0,1.83,5.0,Hydroelectric Production Managers,Management
11-3061.00,Purchasing Managers,1.4,5.55,7.0,5.0,2.01,2.04,6.0,2.77,0.0,Purchasing Managers,Management
